drug_name,form,active_ingredient,strength,status
STILBESTROL,"[""SUPPOSITORY"", ""VAGINAL""]",DIETHYLSTILBESTROL,"[""0.5MG""]",Discontinued
STILBESTROL,"[""INJECTABLE"", ""INJECTION""]",DIETHYLSTILBESTROL,"[""0.2MG/ML""]",Discontinued
STILBESTROL,"[""INJECTABLE"", ""INJECTION""]",DIETHYLSTILBESTROL,"[""0.5MG/ML""]",Discontinued
STILBESTROL,"[""INJECTABLE"", ""INJECTION""]",DIETHYLSTILBESTROL,"[""1MG/ML""]",Discontinued
STILBESTROL,"[""INJECTABLE"", ""INJECTION""]",DIETHYLSTILBESTROL,"[""5MG/ML""]",Discontinued
STILBETIN,"[""TABLET"", ""ORAL""]",DIETHYLSTILBESTROL,"[""0.1MG""]",Discontinued
STILBETIN,"[""TABLET"", ""ORAL""]",DIETHYLSTILBESTROL,"[""0.5MG""]",Discontinued
STILBETIN,"[""TABLET"", ""ORAL""]",DIETHYLSTILBESTROL,"[""1MG""]",Discontinued
STILBETIN,"[""TABLET"", ""ORAL""]",DIETHYLSTILBESTROL,"[""5MG""]",Discontinued
STILBETIN,"[""TABLET, DELAYED RELEASE"", ""ORAL""]",DIETHYLSTILBESTROL,"[""0.1MG""]",Discontinued
STILBETIN,"[""TABLET, DELAYED RELEASE"", ""ORAL""]",DIETHYLSTILBESTROL,"[""0.5MG""]",Discontinued
STILBETIN,"[""TABLET, DELAYED RELEASE"", ""ORAL""]",DIETHYLSTILBESTROL,"[""1MG""]",Discontinued
STILBETIN,"[""TABLET, DELAYED RELEASE"", ""ORAL""]",DIETHYLSTILBESTROL,"[""5MG""]",Discontinued
STILBETIN,"[""TABLET"", ""ORAL""]",DIETHYLSTILBESTROL,"[""0.25MG""]",Discontinued
SULFADIAZINE,"[""TABLET"", ""ORAL""]",SULFADIAZINE,"[""500MG""]",Discontinued
SULFADIAZINE,"[""TABLET"", ""ORAL""]",SULFADIAZINE,"[""300MG""]",Discontinued
HEPARIN SODIUM,"[""INJECTABLE"", ""INJECTION""]",HEPARIN SODIUM,"[""1,000 UNITS/ML""]",Discontinued
HEPARIN SODIUM,"[""INJECTABLE"", ""INJECTION""]",HEPARIN SODIUM,"[""5,000 UNITS/ML""]",Discontinued
HEPARIN SODIUM,"[""INJECTABLE"", ""INJECTION""]",HEPARIN SODIUM,"[""10,000 UNITS/ML""]",Discontinued
ALCOHOL 5% AND DEXTROSE 5%,"[""INJECTABLE"", ""INJECTION""]",ALCOHOL; DEXTROSE,"[""5ML/100ML"", ""5GM/100ML""]",Discontinued
PREMARIN,"[""TABLET"", ""ORAL""]","ESTROGENS, CONJUGATED","[""1.25MG""]",Prescription
PREMARIN,"[""TABLET"", ""ORAL""]","ESTROGENS, CONJUGATED","[""2.5MG""]",Discontinued
PREMARIN,"[""TABLET"", ""ORAL""]","ESTROGENS, CONJUGATED","[""0.3MG""]",Prescription
PREMARIN,"[""TABLET"", ""ORAL""]","ESTROGENS, CONJUGATED","[""0.625MG""]",Prescription
PREMARIN,"[""TABLET"", ""ORAL""]","ESTROGENS, CONJUGATED","[""0.9MG""]",Prescription
PREMARIN,"[""TABLET"", ""ORAL""]","ESTROGENS, CONJUGATED","[""0.45MG""]",Prescription
DEMEROL,"[""TABLET"", ""ORAL""]",MEPERIDINE HYDROCHLORIDE,"[""50MG""]",Discontinued
DEMEROL,"[""INJECTABLE"", ""INJECTION""]",MEPERIDINE HYDROCHLORIDE,"[""50MG/ML""]",Discontinued
DEMEROL,"[""INJECTABLE"", ""INJECTION""]",MEPERIDINE HYDROCHLORIDE,"[""100MG/ML""]",Discontinued
DEMEROL,"[""TABLET"", ""ORAL""]",MEPERIDINE HYDROCHLORIDE,"[""100MG""]",Discontinued
DEMEROL,"[""SYRUP"", ""ORAL""]",MEPERIDINE HYDROCHLORIDE,"[""50MG/5ML **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**""]",Discontinued
DEMEROL,"[""INJECTABLE"", ""INJECTION""]",MEPERIDINE HYDROCHLORIDE,"[""25MG/ML""]",Discontinued
DEMEROL,"[""INJECTABLE"", ""INJECTION""]",MEPERIDINE HYDROCHLORIDE,"[""75MG/ML""]",Discontinued
PERCORTEN,"[""PELLET"", ""IMPLANTATION""]",DESOXYCORTICOSTERONE ACETATE,"[""125MG""]",Discontinued
HYCODAN,"[""TABLET"", ""ORAL""]",HOMATROPINE METHYLBROMIDE; HYDROCODONE BITARTRATE,"[""1.5MG"", ""5MG""]",Prescription
HYCODAN,"[""SYRUP"", ""ORAL""]",HOMATROPINE METHYLBROMIDE; HYDROCODONE BITARTRATE,"[""1.5MG/5ML"", ""5MG/5ML""]",Prescription
PANHEPRIN,"[""INJECTABLE"", ""INJECTION""]",HEPARIN SODIUM,"[""1,000 UNITS/ML""]",Discontinued
PANHEPRIN,"[""INJECTABLE"", ""INJECTION""]",HEPARIN SODIUM,"[""5,000 UNITS/ML""]",Discontinued
PANHEPRIN,"[""INJECTABLE"", ""INJECTION""]",HEPARIN SODIUM,"[""10,000 UNITS/ML""]",Discontinued
PANHEPRIN,"[""INJECTABLE"", ""INJECTION""]",HEPARIN SODIUM,"[""20,000 UNITS/ML""]",Discontinued
PANHEPRIN,"[""INJECTABLE"", ""INJECTION""]",HEPARIN SODIUM,"[""40,000 UNITS/ML""]",Discontinued
HEPARIN LOCK FLUSH,"[""INJECTABLE"", ""INJECTION""]",HEPARIN SODIUM,"[""100 UNITS/ML""]",Discontinued
HEPARIN SODIUM PRESERVATIVE FREE,"[""INJECTABLE"", ""INJECTION""]",HEPARIN SODIUM,"[""2,000 UNITS/ML""]",Discontinued
HEPARIN SODIUM PRESERVATIVE FREE,"[""INJECTABLE"", ""INJECTION""]",HEPARIN SODIUM,"[""2,500 UNITS/ML""]",Discontinued
ESTINYL,"[""TABLET"", ""ORAL""]",ETHINYL ESTRADIOL,"[""0.02MG""]",Discontinued
ESTINYL,"[""TABLET"", ""ORAL""]",ETHINYL ESTRADIOL,"[""0.05MG""]",Discontinued
ESTINYL,"[""TABLET"", ""ORAL""]",ETHINYL ESTRADIOL,"[""0.5MG""]",Discontinued
PANTOPAQUE,"[""INJECTABLE"", ""INJECTION""]",IOPHENDYLATE,"[""100%""]",Discontinued
DESOXYN,"[""TABLET"", ""ORAL""]",METHAMPHETAMINE HYDROCHLORIDE,"[""5MG""]",Prescription
DESOXYN,"[""TABLET, EXTENDED RELEASE"", ""ORAL""]",METHAMPHETAMINE HYDROCHLORIDE,"[""10MG""]",Discontinued
DESOXYN,"[""TABLET, EXTENDED RELEASE"", ""ORAL""]",METHAMPHETAMINE HYDROCHLORIDE,"[""5MG""]",Discontinued
DESOXYN,"[""TABLET, EXTENDED RELEASE"", ""ORAL""]",METHAMPHETAMINE HYDROCHLORIDE,"[""15MG""]",Discontinued
LYNORAL,"[""TABLET"", ""ORAL""]",ETHINYL ESTRADIOL,"[""0.05MG""]",Discontinued
LYNORAL,"[""TABLET"", ""ORAL""]",ETHINYL ESTRADIOL,"[""0.01MG""]",Discontinued
DICUMAROL,"[""CAPSULE"", ""ORAL""]",DICUMAROL,"[""50MG""]",Discontinued
DICUMAROL,"[""CAPSULE"", ""ORAL""]",DICUMAROL,"[""25MG""]",Discontinued
HEPARIN SODIUM,"[""INJECTABLE"", ""INJECTION""]",HEPARIN SODIUM,"[""1,000 UNITS/ML""]",Discontinued
HEPARIN SODIUM,"[""INJECTABLE"", ""INJECTION""]",HEPARIN SODIUM,"[""10,000 UNITS/ML""]",Discontinued
HEPARIN SODIUM,"[""INJECTABLE"", ""INJECTION""]",HEPARIN SODIUM,"[""20,000 UNITS/ML""]",Discontinued
DICUMAROL,"[""TABLET"", ""ORAL""]",DICUMAROL,"[""25MG""]",Discontinued
DICUMAROL,"[""TABLET"", ""ORAL""]",DICUMAROL,"[""50MG""]",Discontinued
DICUMAROL,"[""TABLET"", ""ORAL""]",DICUMAROL,"[""100MG""]",Discontinued
AMINOHIPPURATE SODIUM,"[""INJECTABLE"", ""INJECTION""]",AMINOHIPPURATE SODIUM,"[""20%""]",Discontinued
MANNITOL 25%,"[""INJECTABLE"", ""INJECTION""]",MANNITOL,"[""12.5GM/50ML""]",Discontinued
TUBOCURARINE CHLORIDE,"[""INJECTABLE"", ""INJECTION""]",TUBOCURARINE CHLORIDE,"[""3MG/ML""]",Discontinued
VERTAVIS,"[""TABLET"", ""ORAL""]",VERATRUM VIRIDE ROOT,"[""130CSR UNIT""]",Discontinued
KAPPADIONE,"[""INJECTABLE"", ""INJECTION""]",MENADIOL SODIUM DIPHOSPHATE,"[""10MG/ML""]",Discontinued
SULTRIN,"[""CREAM"", ""VAGINAL""]",TRIPLE SULFA (SULFABENZAMIDE;SULFACETAMIDE;SULFATHIAZOLE),"[""3.7%"", ""2.86%"", ""3.42%""]",Discontinued
SULTRIN,"[""TABLET"", ""VAGINAL""]",TRIPLE SULFA (SULFABENZAMIDE;SULFACETAMIDE;SULFATHIAZOLE),"[""184MG"", ""143.75MG"", ""172.5MG""]",Discontinued
FURACIN,"[""OINTMENT"", ""TOPICAL""]",NITROFURAZONE,"[""0.2%""]",Discontinued
BENADRYL,"[""CAPSULE"", ""ORAL""]",DIPHENHYDRAMINE HYDROCHLORIDE,"[""50MG""]",Discontinued
BENADRYL,"[""ELIXIR"", ""ORAL""]",DIPHENHYDRAMINE HYDROCHLORIDE,"[""12.5MG/5ML""]",Discontinued
BENADRYL,"[""CAPSULE"", ""ORAL""]",DIPHENHYDRAMINE HYDROCHLORIDE,"[""25MG""]",Discontinued
TRIDIONE,"[""SOLUTION"", ""ORAL""]",TRIMETHADIONE,"[""200MG/5ML""]",Discontinued
TRIDIONE,"[""CAPSULE"", ""ORAL""]",TRIMETHADIONE,"[""300MG""]",Discontinued
TRIDIONE,"[""TABLET"", ""ORAL""]",TRIMETHADIONE,"[""150MG""]",Discontinued
FOLVITE,"[""TABLET"", ""ORAL""]",FOLIC ACID,"[""1MG""]",Discontinued
FOLVITE,"[""INJECTABLE"", ""INJECTION""]",FOLIC ACID,"[""5MG/ML""]",Discontinued
PBZ,"[""TABLET"", ""ORAL""]",TRIPELENNAMINE HYDROCHLORIDE,"[""50MG""]",Discontinued
PBZ,"[""ELIXIR"", ""ORAL""]",TRIPELENNAMINE CITRATE,"[""EQ 25MG HYDROCHLORIDE/5ML""]",Discontinued
D.H.E. 45,"[""INJECTABLE"", ""INJECTION""]",DIHYDROERGOTAMINE MESYLATE,"[""1MG/ML""]",Prescription
AMINOSOL 5%,"[""INJECTABLE"", ""INJECTION""]",PROTEIN HYDROLYSATE,"[""5%""]",Discontinued
BAL,"[""INJECTABLE"", ""INJECTION""]",DIMERCAPROL,"[""10%""]",Prescription
SODIUM SULAMYD,"[""SOLUTION/DROPS"", ""OPHTHALMIC""]",SULFACETAMIDE SODIUM,"[""10% **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**""]",Discontinued
SODIUM SULAMYD,"[""OINTMENT"", ""OPHTHALMIC""]",SULFACETAMIDE SODIUM,"[""10% **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**""]",Discontinued
SODIUM SULAMYD,"[""SOLUTION/DROPS"", ""OPHTHALMIC""]",SULFACETAMIDE SODIUM,"[""30% **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**""]",Discontinued
SOTRADECOL,"[""INJECTABLE"", ""INJECTION""]",SODIUM TETRADECYL SULFATE,"[""1% **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**""]",Discontinued
SOTRADECOL,"[""INJECTABLE"", ""INJECTION""]",SODIUM TETRADECYL SULFATE,"[""3% **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**""]",Discontinued
ARALEN,"[""TABLET"", ""ORAL""]",CHLOROQUINE PHOSPHATE,"[""500MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**""]",Discontinued
ARALEN HYDROCHLORIDE,"[""INJECTABLE"", ""INJECTION""]",CHLOROQUINE HYDROCHLORIDE,"[""EQ 40MG BASE/ML""]",Discontinued
MESANTOIN,"[""TABLET"", ""ORAL""]",MEPHENYTOIN,"[""100MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**""]",Discontinued
FOLVRON,"[""CAPSULE"", ""ORAL""]",FERROUS SULFATE; FOLIC ACID,"[""182MG"", ""0.33MG""]",Discontinued
METHERGINE,"[""TABLET"", ""ORAL""]",METHYLERGONOVINE MALEATE,"[""0.2MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**""]",Discontinued
METHERGINE,"[""INJECTABLE"", ""INJECTION""]",METHYLERGONOVINE MALEATE,"[""0.2MG/ML""]",Prescription
DIASONE SODIUM,"[""TABLET, DELAYED RELEASE"", ""ORAL""]",SULFOXONE SODIUM,"[""165MG""]",Discontinued
BEROCCA PN,"[""INJECTABLE"", ""INJECTION""]",ASCORBIC ACID; BIOTIN; CYANOCOBALAMIN; DEXPANTHENOL; ERGOCALCIFEROL; FOLIC ACID; NIACINAMIDE; PYRIDOXINE HYDROCHLORIDE; RIBOFLAVIN 5'-PHOSPHATE SODIUM; THIAMINE HYDROCHLORIDE; VITAMIN A PALMITATE; VITAMIN E,"[""50MG/ML"", ""0.03MG/ML"", ""0.0025MG/ML"", ""7.5MG/ML"", ""100 IU/ML"", ""0.2MG/ML"", ""20MG/ML"", ""2MG/ML"", ""1.8MG/ML"", ""1.5MG/ML"", ""1,650 IU/ML"", ""5 IU/ML""]",Discontinued
TUBOCURARINE CHLORIDE,"[""INJECTABLE"", ""INJECTION""]",TUBOCURARINE CHLORIDE,"[""3MG/ML""]",Discontinued
DIENESTROL,"[""CREAM"", ""VAGINAL""]",DIENESTROL,"[""0.01%""]",Discontinued
DOLOPHINE HYDROCHLORIDE,"[""TABLET"", ""ORAL""]",METHADONE HYDROCHLORIDE,"[""5MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**""]",Discontinued
DOLOPHINE HYDROCHLORIDE,"[""SYRUP"", ""ORAL""]",METHADONE HYDROCHLORIDE,"[""10MG/30ML""]",Discontinued
DOLOPHINE HYDROCHLORIDE,"[""TABLET"", ""ORAL""]",METHADONE HYDROCHLORIDE,"[""10MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**""]",Discontinued
FOLIC ACID,"[""TABLET"", ""ORAL""]",FOLIC ACID,"[""1MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**""]",Discontinued
BENADRYL,"[""INJECTABLE"", ""INJECTION""]",DIPHENHYDRAMINE HYDROCHLORIDE,"[""10MG/ML""]",Discontinued
BENADRYL,"[""INJECTABLE"", ""INJECTION""]",DIPHENHYDRAMINE HYDROCHLORIDE,"[""50MG/ML **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**""]",Discontinued
HYPROTIGEN 5%,"[""INJECTABLE"", ""INJECTION""]",PROTEIN HYDROLYSATE,"[""5%""]",Discontinued
PROPYLTHIOURACIL,"[""TABLET"", ""ORAL""]",PROPYLTHIOURACIL,"[""50MG""]",Prescription
HEAVY SOLUTION NUPERCAINE,"[""INJECTABLE"", ""INJECTION""]",DIBUCAINE HYDROCHLORIDE,"[""2.5MG/ML""]",Discontinued
PROPYLTHIOURACIL,"[""TABLET"", ""ORAL""]",PROPYLTHIOURACIL,"[""50MG""]",Discontinued
GAMOPHEN,"[""SOAP"", ""TOPICAL""]",HEXACHLOROPHENE,"[""2%""]",Discontinued
KWELL,"[""CREAM"", ""TOPICAL""]",LINDANE,"[""1%""]",Discontinued
KWELL,"[""LOTION"", ""TOPICAL""]",LINDANE,"[""1%""]",Discontinued
SULFONAMIDES DUPLEX,"[""SUSPENSION"", ""ORAL""]",SULFADIAZINE; SULFAMERAZINE,"[""250MG/5ML"", ""250MG/5ML""]",Discontinued
NEOTRIZINE,"[""TABLET"", ""ORAL""]",TRISULFAPYRIMIDINES (SULFADIAZINE;SULFAMERAZINE;SULFAMETHAZINE),"[""167MG"", ""167MG"", ""167MG""]",Discontinued
NEOTRIZINE,"[""SUSPENSION"", ""ORAL""]",TRISULFAPYRIMIDINES (SULFADIAZINE;SULFAMERAZINE;SULFAMETHAZINE),"[""167MG/5ML"", ""167MG/5ML"", ""167MG/5ML""]",Discontinued
TUBOCURARINE CHLORIDE,"[""INJECTABLE"", ""INJECTION""]",TUBOCURARINE CHLORIDE,"[""3MG/ML""]",Discontinued
ISUPREL,"[""SOLUTION"", ""INHALATION""]",ISOPROTERENOL HYDROCHLORIDE,"[""0.5%""]",Discontinued
ISUPREL,"[""SOLUTION"", ""INHALATION""]",ISOPROTERENOL HYDROCHLORIDE,"[""1%""]",Discontinued
ISUPREL,"[""TABLET"", ""RECTAL, SUBLINGUAL""]",ISOPROTERENOL HYDROCHLORIDE,"[""10MG""]",Discontinued
ISUPREL,"[""TABLET"", ""RECTAL, SUBLINGUAL""]",ISOPROTERENOL HYDROCHLORIDE,"[""15MG""]",Discontinued
SYNOPHYLATE,"[""ELIXIR"", ""ORAL""]",THEOPHYLLINE SODIUM GLYCINATE,"[""EQ 165MG BASE/15ML""]",Discontinued
METHADONE HYDROCHLORIDE,"[""POWDER"", ""FOR RX COMPOUNDING""]",METHADONE HYDROCHLORIDE,"[""50GM/BOT""]",Discontinued
METHADONE HYDROCHLORIDE,"[""POWDER"", ""FOR RX COMPOUNDING""]",METHADONE HYDROCHLORIDE,"[""100GM/BOT""]",Discontinued
METHADONE HYDROCHLORIDE,"[""POWDER"", ""FOR RX COMPOUNDING""]",METHADONE HYDROCHLORIDE,"[""500GM/BOT""]",Discontinued
PRISCOLINE,"[""INJECTABLE"", ""INJECTION""]",TOLAZOLINE HYDROCHLORIDE,"[""25MG/ML""]",Discontinued
DECAPRYN,"[""TABLET"", ""ORAL""]",DOXYLAMINE SUCCINATE,"[""25MG""]",Discontinued
DECAPRYN,"[""TABLET"", ""ORAL""]",DOXYLAMINE SUCCINATE,"[""12.5MG""]",Discontinued
CAMOQUIN HYDROCHLORIDE,"[""TABLET"", ""ORAL""]",AMODIAQUINE HYDROCHLORIDE,"[""EQ 200MG BASE""]",Discontinued
HETRAZAN,"[""TABLET"", ""ORAL""]",DIETHYLCARBAMAZINE CITRATE,"[""50MG""]",Discontinued
PROTAMINE SULFATE,"[""INJECTABLE"", ""INJECTION""]",PROTAMINE SULFATE,"[""10MG/ML **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**""]",Discontinued
CALCIUM GLUCEPTATE,"[""INJECTABLE"", ""INJECTION""]",CALCIUM GLUCEPTATE,"[""EQ 90MG CALCIUM/5ML""]",Discontinued
XYLOCAINE,"[""INJECTABLE"", ""INJECTION""]",LIDOCAINE HYDROCHLORIDE,"[""2%""]",Prescription
XYLOCAINE W/ EPINEPHRINE,"[""INJECTABLE"", ""INJECTION""]",EPINEPHRINE; LIDOCAINE HYDROCHLORIDE,"[""0.01MG/ML"", ""2%""]",Discontinued
XYLOCAINE W/ EPINEPHRINE,"[""INJECTABLE"", ""INJECTION""]",EPINEPHRINE; LIDOCAINE HYDROCHLORIDE,"[""0.01MG/ML"", ""1%""]",Prescription
XYLOCAINE W/ EPINEPHRINE,"[""INJECTABLE"", ""INJECTION""]",EPINEPHRINE; LIDOCAINE HYDROCHLORIDE,"[""0.02MG/ML"", ""2%""]",Prescription
XYLOCAINE,"[""INJECTABLE"", ""INJECTION""]",LIDOCAINE HYDROCHLORIDE,"[""1%""]",Prescription
XYLOCAINE,"[""INJECTABLE"", ""INJECTION""]",LIDOCAINE HYDROCHLORIDE,"[""0.5%""]",Prescription
XYLOCAINE,"[""INJECTABLE"", ""INJECTION""]",LIDOCAINE HYDROCHLORIDE,"[""1.5%""]",Prescription
